,ID,Tweet,Source,Date,Likes,Retweet
35,1337434716543340548,“Researchers and governments need to come together to develop a comprehensive strategy for preventing and managing… https://t.co/Gj68BBK9oC,Sprout Social,2020-12-11 16:30:59,67,21
36,1337418546268295169,This week on the Nature podcast: How water chemistry is shifting researchers' thoughts on where life might have ari… https://t.co/KVqGz5IvvS,Sprout Social,2020-12-11 15:26:44,57,12
37,1337386908004081664,"At more than 10 kilometres deep, the Mariana Trench in the Pacific Ocean might seem remote enough to be pristine. B… https://t.co/QhGqhv6uQZ",Sprout Social,2020-12-11 13:21:00,143,45
38,1337357840881758211,"RT @nature: Sign up for Nature Briefing and be entered to win this fun set of lab based board games including Lovelace &amp; Babbage, History H…",Twitter Web App,2020-12-11 11:25:30,0,8
39,1337241450820591617,News &amp; Views: Dinosaur relatives called pterosaurs are the earliest known flying vertebrates. The branch of the evo… https://t.co/7cSZ0szgK3,Sprout Social,2020-12-11 03:43:01,137,31
40,1337225345485987842,"A study in Nature demonstrates that, through careful chemical design, it is possible to modify a psychedelic compou… https://t.co/OKKqZd53IX",Sprout Social,2020-12-11 02:39:01,232,51
41,1337209238121275393,"Zombies are a staple of apocalyptic movies, but not all the living dead are evil. In the guts of fruit flies, dying… https://t.co/7x9qVKYlGV",Sprout Social,2020-12-11 01:35:01,136,29
42,1337167630751371264,"Young children account for only a small percentage of COVID-19 infections, a trend that has puzzled scientists. A g… https://t.co/4IlVXUrmQu",Sprout Social,2020-12-10 22:49:41,207,76
43,1337072314018566145,"Living things depend on water, but water breaks down DNA and other key molecules. So how did the earliest cells dea… https://t.co/vCM6Tn4inl",Sprout Social,2020-12-10 16:30:55,182,44
44,1337056206804938756,Research teams are reporting promising results from trials of two pioneering gene therapies that target the root ca… https://t.co/boIa6Dw32E,Sprout Social,2020-12-10 15:26:55,118,19
45,1337024771612139520,"Scientists are turning to the programming language Rust, but it has a steep learning curve. Here’s what you need to… https://t.co/jDWiTg5zhH",Sprout Social,2020-12-10 13:22:00,79,19
46,1337000915191140352,Sign up for Nature Briefing and be entered to win this fun set of lab based board games including Lovelace &amp; Babbag… https://t.co/8aORJZUoWG,Twitter for Advertisers (legacy),2020-12-10 11:47:13,49,8
47,1336879064896966656,John Fulmer is the lead technician for the Schmidt Ocean Institute’s research vessel Falkor and has seen many first… https://t.co/mpdjPr8hhi,Sprout Social,2020-12-10 03:43:01,40,7
48,1336862958429802501,"The closest evolutionary relatives of pterosaurs may be a group of small, dinosaur-like animals known as lagerpetid… https://t.co/KuHgCHDT5m",Sprout Social,2020-12-10 02:39:01,114,22
49,1336846853053304835,"A species of leaf-cutter ant is the first known example of an insect with mineralized armour, which shields them du… https://t.co/uBzPyuYByv",Sprout Social,2020-12-10 01:35:01,173,31
50,1336805289396416518,A study in Nature reports that 2020 may mark the crossover point when human-made mass surpasses that of living biom… https://t.co/QmqSWF7wVw,Sprout Social,2020-12-09 22:49:52,246,127
51,1336733829239885825,This week on the Nature cover: Mapping Metastasis. Petal plots capture cancer’s metastatic potential. Browse the is… https://t.co/bwxbDaVJnH,Twitter Web App,2020-12-09 18:05:54,87,19
52,1336710208714907648,The first formally published results from a large clinical trial of a COVID-19 vaccine suggest that the vaccine is… https://t.co/6D8Hc4mEIb,Sprout Social,2020-12-09 16:32:03,162,49
53,1336693811251191809,Few scientists are trained in how to write a literature review — or in what constitutes an excellent one. Nature as… https://t.co/YTMUAwRYbb,Sprout Social,2020-12-09 15:26:53,323,88
54,1336662637669740547,A Nature paper reports that neurons in the eyes of mice can be reprogrammed to a more youthful state in which they… https://t.co/oM0n81LghM,Sprout Social,2020-12-09 13:23:01,246,55
55,1336635902077132800,"RT @nature: Sign up for Nature Briefing and be entered to win this fun set of lab based board games including Lovelace &amp; Babbage, History H…",Twitter Web App,2020-12-09 11:36:47,0,17
56,1336500826496520192,Wood runs like a vein throughout human history. The Age of Wood by Roland Ennos is a lively history of wood biology… https://t.co/TIJy6njFLT,Sprout Social,2020-12-09 02:40:02,128,24
57,1336484724991254531,"An airy insulating material doubles the efficiency of a device that converts sunshine to heat, enabling solar-power… https://t.co/3d1hXXn58s",Sprout Social,2020-12-09 01:36:03,67,18
58,1336442848963649537,Researchers are looking beyond allergen immunotherapy to help those who are allergic to cats. Some are seeking ways… https://t.co/h0wbWV5jOA,Sprout Social,2020-12-08 22:49:39,166,28
59,1336347824246697987,A Perspective in Nature reviews recent work on optical computing for artificial intelligence applications and discu… https://t.co/ox4qvivC8L,Sprout Social,2020-12-08 16:32:04,59,10
60,1336331408638238721,Five early-career researchers from under-represented groups share what they’ve experienced in the pandemic and thei… https://t.co/fPKi8QlpV5,Sprout Social,2020-12-08 15:26:50,79,26
61,1336280869393354753,An artificial intelligence network developed by Google AI offshoot DeepMind has made a gargantuan leap in solving o… https://t.co/VIusrH9qp4,Sprout Social,2020-12-08 12:06:00,697,200
62,1336270892486299649,Sign up for Nature Briefing and be entered to win this fun set of lab based board games including Lovelace &amp; Babbag… https://t.co/IOSxZM8YH6,Twitter for Advertisers (legacy),2020-12-08 11:26:22,70,17
63,1336138445920612353,The structure of myosin-2 in the shutdown state reveals how the shutdown state is stabilized and how phosphorylatio… https://t.co/8nPod02Af2,Sprout Social,2020-12-08 02:40:04,108,15
64,1336123034260877313,New research in mice shows that it is possible to cure vision loss caused by old age or injury. Read the paper here… https://t.co/9xCHZuzgHl,Sprout Social,2020-12-08 01:38:49,231,74
65,1336080485248798728,News &amp; Views: A Nature paper presents a method to tackle the major challenge of differentiating between the hundred… https://t.co/Us9vsZluuX,Sprout Social,2020-12-07 22:49:45,107,22
66,1335985425874378754,On the latest Working Scientist podcast’s postdoc series: Experience as a postdoctoral researcher might not fast-tr… https://t.co/22DjS68mgH,Sprout Social,2020-12-07 16:32:01,39,5
67,1335969027286556674,A paper in Nature demonstrates that purified polyclonal antibodies can protect monkeys against SARS-CoV-2. The find… https://t.co/ghH2TJohKS,Sprout Social,2020-12-07 15:26:51,108,38
68,1335917480196366338,A Review published in Nature provides an overview on recent research and clinical developments in the field of fibr… https://t.co/R9rcjyzXYA,Sprout Social,2020-12-07 12:02:02,98,19
69,1335910291754913797,"RT @nature: Sign up for Nature Briefing and be entered to win this fun set of lab based board games including Lovelace &amp; Babbage, History H…",Twitter Web App,2020-12-07 11:33:28,0,17
70,1335791902524911616,A study in Nature shows that a mouse auto-antibody A12 and its target antigen mitochondrial protein ALDH4A1 could r… https://t.co/XR1YlvZlKk,Sprout Social,2020-12-07 03:43:02,39,8
71,1335775792643649538,"Scientists are turning to the programming language Rust, but it has a steep learning curve. Here’s what you need to… https://t.co/sYpQdEZzMc",Sprout Social,2020-12-07 02:39:01,104,30
72,1335759686658895878,Bacteria that thrive in the guts of humans and other mammals make a molecule that goads crucial immune cells into a… https://t.co/3qitPhBCcI,Sprout Social,2020-12-07 01:35:01,342,88
73,1335718044019142658,News &amp; Views: A highly precise measurement of a physical constant known as the fine-structure constant provides a s… https://t.co/cu66aa1MYZ,Sprout Social,2020-12-06 22:49:32,120,36
74,1335622587762741254,A paper in Nature shows that ribosomes act as cytosolic sensors of intracellular galactosaminogalactan that initiat… https://t.co/mNwcXHfo3H,Sprout Social,2020-12-06 16:30:14,130,22
75,1335606556549935107,Editorial: Fourteen nations have made an unprecedented and welcome commitment to use marine ecosystems sustainably.… https://t.co/80W5L8UQpK,Sprout Social,2020-12-06 15:26:32,142,41
76,1335554836176244737,"Iceland’s science has been credited with preventing COVID-19 deaths — the country reports fewer than 7 per 100,000… https://t.co/fJ9tfR8Sm5",Sprout Social,2020-12-06 12:01:01,247,76
77,1335429511610032128,"The role of an allergist has been likened to that of a detective. Superior powers of observation, chance encounters… https://t.co/lq9JQB8OMd",Sprout Social,2020-12-06 03:43:01,82,15
78,1335413407168802816,A study in Nature identifies a neuropeptide in zebrafish that is involved in both the tracking and responding to th… https://t.co/DOUhFoCLnb,Sprout Social,2020-12-06 02:39:01,159,26
79,1335397300877791237,Research published in Nature reports the most accurate (81 parts-per-trillion) measurement of the fine-structure co… https://t.co/NRFFiah9Wj,Sprout Social,2020-12-06 01:35:01,77,19
80,1335355552826875905,On the Nature podcast: Researchers claim to have identified a method to revert cells in mice eyes back to a younger… https://t.co/LTqvwhMufX,Sprout Social,2020-12-05 22:49:08,179,35
81,1335260305027436550,"“Protection is important to let damaged waters regenerate, but we need more: we can manage the ocean for its vast c… https://t.co/PmMeDKz91C",Sprout Social,2020-12-05 16:30:39,82,20
82,1335244075067379714,"A study published in Nature shows that decompression melting of a hot, early Earth's mantle beneath a stretching li… https://t.co/MRoIx4DvTK",Sprout Social,2020-12-05 15:26:09,112,22
83,1335197736271048708,"A Nature paper describes a human lung culture system that can be used to model lung infections, including the SARS-… https://t.co/KB6MmgG8zs",Sprout Social,2020-12-05 12:22:01,177,53
84,1335067123358584833,"Until around 10 years ago, the prognosis for people with multiple myeloma was poor. It’s still the second most comm… https://t.co/q8WoSNK0U4",Sprout Social,2020-12-05 03:43:01,89,16
85,1335051016446898178,News &amp; Views: A Nature paper describes an artificially intelligent controller that can station a stratospheric ball… https://t.co/isZ92i1pXA,Sprout Social,2020-12-05 02:39:01,121,35
